2016-09-23 17:25:23 status unpacked base-files:amd64 8+deb8u6
2016-09-23 17:25:23 status half-installed base-files:amd64 8+deb8u6
2016-09-23 17:25:23 status half-installed base-files:amd64 8+deb8u6
2016-09-23 17:25:23 status unpacked base-files:amd64 8+deb8u6
2016-09-23 17:25:23 status unpacked base-files:amd64 8+deb8u6
2016-09-23 17:25:23 upgrade base-passwd:amd64 3.5.37 3.5.37
2016-09-23 17:25:23 status half-configured base-passwd:amd64 3.5.37
2016-09-23 17:25:23 status unpacked base-passwd:amd64 3.5.37
2016-09-23 17:25:23 status half-installed base-passwd:amd64 3.5.37
2016-09-23 17:25:23 status half-installed base-passwd:amd64 3.5.37
2016-09-23 17:25:23 status unpacked base-passwd:amd64 3.5.37
2016-09-23 17:25:23 status unpacked base-passwd:amd64 3.5.37
2016-09-23 17:25:24 install bash:amd64 <none> 4.3-11+b1
2016-09-23 17:25:24 status half-installed bash:amd64 4.3-11+b1
2016-09-23 17:25:24 status unpacked bash:amd64 4.3-11+b1
2016-09-23 17:25:24 status unpacked bash:amd64 4.3-11+b1
2016-09-23 17:25:24 install libbz2-1.0:amd64 <none> 1.0.6-7+b3
2016-09-23 17:25:24 status half-installed libbz2-1.0:amd64 1.0.6-7+b3
2016-09-23 17:25:24 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2016-09-23 17:25:24 status unpacked libbz2-1.0:amd64 1.0.6-7+b3
2016-09-23 17:25:24 install libdebconfclient0:amd64 <none> 0.192
2016-09-23 17:25:24 status half-installed libdebconfclient0:amd64 0.192
2016-09-23 17:25:24 status unpacked libdebconfclient0:amd64 0.192
2016-09-23 17:25:24 status unpacked libdebconfclient0:amd64 0.192
2016-09-23 17:25:24 install coreutils:amd64 <none> 8.23-4
2016-09-23 17:25:24 status half-installed coreutils:amd64 8.23-4
2016-09-23 17:25:25 status unpacked coreutils:amd64 8.23-4
2016-09-23 17:25:25 status unpacked coreutils:amd64 8.23-4
2016-09-23 17:25:25 install libcryptsetup4:amd64 <none> 2:1.6.6-5
2016-09-23 17:25:25 status half-installed libcryptsetup4:amd64 2:1.6.6-5
2016-09-23 17:25:25 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2016-09-23 17:25:25 status unpacked libcryptsetup4:amd64 2:1.6.6-5
2016-09-23 17:25:25 install dash:amd64 <none> 0.5.7-4+b1
2016-09-23 17:25:25 status half-installed dash:amd64 0.5.7-4+b1
